						Virtual	PhysicalShared		
PID:	4706	name:	firefox	virtual:	1012152	219676	58176	Wss:	*
PID:	4706	name:	firefox	virtual:	1012152	219676	58176	Wss:	*
PID:	4706	name:	firefox	virtual:	1012152	219676	58176	Wss:	
PID:	4706	name:	firefox	virtual:	1012152	219676	58176	Wss:	
PID:	4706	name:	firefox	virtual:	1010680	216508	58176	Wss:	*
PID:	4706	name:	firefox	virtual:	1010680	216508	58176	Wss:	*
PID:	4706	name:	firefox	virtual:	1010616	216572	58176	Wss:	
PID:	4706	name:	firefox	virtual:	1011640	217104	58196	Wss:	
PID:	4706	name:	firefox	virtual:	1013752	215500	58204	Wss:	
PID:	4706	name:	firefox	virtual:	1013752	215952	58208	Wss:	
PID:	4706	name:	firefox	virtual:	1013816	215164	58212	Wss:	
PID:	4706	name:	firefox	virtual:	1013816	215300	58212	Wss:	
PID:	4706	name:	firefox	virtual:	1013816	215500	58212	Wss:	
PID:	4706	name:	firefox	virtual:	1013752	215576	58212	Wss:	
PID:	4706	name:	firefox	virtual:	1013880	215680	58212	Wss:	
PID:	4706	name:	firefox	virtual:	1013496	214288	58212	Wss:	
PID:	4706	name:	firefox	virtual:	1013496	214288	58212	Wss:	
PID:	4706	name:	firefox	virtual:	1013260	218588	58100	Wss:	
PID:	4706	name:	firefox	virtual:	1013260	218928	58100	Wss:	
PID:	4706	name:	firefox	virtual:	1013324	220820	58204	Wss:	*
PID:	4706	name:	firefox	virtual:	1014540	224200	58204	Wss:	*
PID:	4706	name:	firefox	virtual:	1015692	223652	58244	Wss:	*
PID:	4706	name:	firefox	virtual:	1015820	223908	58260	Wss:	*
PID:	4706	name:	firefox	virtual:	1015820	222512	58268	Wss:	
PID:	4706	name:	firefox	virtual:	1015884	224072	58268	Wss:	
PID:	4706	name:	firefox	virtual:	1018120	227892	57716	Wss:	*
PID:	4706	name:	firefox	virtual:	1022408	223456	57980	Wss:	*
PID:	4706	name:	firefox	virtual:	1022472	227044	57980	Wss:	*
PID:	4706	name:	firefox	virtual:	1022408	228012	57980	Wss:	
PID:	4706	name:	firefox	virtual:	1022408	226908	57996	Wss:	
